Time,Value
2024/07/21 00:04:20,106.7
2024/07/21 00:09:20,50.72
2024/07/21 00:14:20,-1
2024/07/21 00:19:20,44.27
2024/07/21 00:24:20,176.28
2024/07/21 00:29:20,114.35
2024/07/21 00:34:20,48.19
2024/07/21 00:39:20,234.58
2024/07/21 00:44:20,118.72
2024/07/21 00:49:20,53.71
2024/07/21 00:54:20,168.16
2024/07/21 00:59:20,203.62
2024/07/21 01:04:20,140.46
2024/07/21 01:09:20,120.65
2024/07/21 01:14:20,165.53
2024/07/21 01:19:20,210.21
2024/07/21 01:24:20,113.74
2024/07/21 01:29:20,156.19
2024/07/21 01:34:19,248.03
2024/07/21 01:39:19,169.74
2024/07/21 01:44:19,126.34
2024/07/21 01:49:19,93.64
2024/07/21 01:54:19,184
2024/07/21 01:59:19,168.97
2024/07/21 02:04:19,129.5
2024/07/21 02:09:19,82.76
2024/07/21 02:14:19,182.3
2024/07/21 02:19:19,92.15
2024/07/21 02:24:19,85.08
2024/07/21 02:29:19,248.68
2024/07/21 02:34:19,83.01
2024/07/21 02:39:19,142.95
2024/07/21 02:44:19,67.96
2024/07/21 02:49:19,67.49
2024/07/21 02:54:19,180
2024/07/21 02:59:19,138.2
2024/07/21 03:04:19,65.88
2024/07/21 03:09:19,71.65
2024/07/21 03:14:19,118.53
2024/07/21 03:19:19,125.9
2024/07/21 03:24:19,134.1
2024/07/21 03:29:19,153.92
2024/07/21 03:34:19,91.7
2024/07/21 03:39:19,258.94
2024/07/21 03:44:19,138.23
2024/07/21 03:49:19,94.53
2024/07/21 03:54:19,204.58
2024/07/21 03:59:19,177.02
2024/07/21 04:04:19,123.04
2024/07/21 04:09:19,-1
2024/07/21 04:14:19,-1
2024/07/21 04:19:19,193.96
2024/07/21 04:24:19,279.5
2024/07/21 04:29:19,77.11
2024/07/21 04:34:19,87.92
2024/07/21 04:39:19,82.92
2024/07/21 04:44:19,250.24
2024/07/21 04:49:19,90.77
2024/07/21 04:54:19,191.99
2024/07/21 04:59:19,211.26
2024/07/21 05:04:19,77.6
2024/07/21 05:09:19,146.55
2024/07/21 05:14:19,-1
2024/07/21 05:19:19,104.35
2024/07/21 05:24:19,225.96
2024/07/21 05:29:19,67.6
2024/07/21 05:34:19,176.01
2024/07/21 05:39:19,187.87
2024/07/21 05:44:19,116.32
2024/07/21 05:49:19,72.38
2024/07/21 05:54:19,138.02
2024/07/21 05:59:19,179.16
2024/07/21 06:04:19,232.1
2024/07/21 06:09:19,87.91
2024/07/21 06:14:19,272.93
2024/07/21 06:19:19,122.73
2024/07/21 06:24:19,305.42
2024/07/21 06:29:19,248.67
2024/07/21 06:34:19,199.65
2024/07/21 06:39:19,215.04
2024/07/21 06:44:19,129.79
2024/07/21 06:49:19,132.95
2024/07/21 06:54:19,98.39
2024/07/21 06:59:19,108.36
2024/07/21 07:04:19,183.83
2024/07/21 07:09:19,165.13
2024/07/21 07:14:19,78.92
2024/07/21 07:19:19,114.15
2024/07/21 07:24:19,144.34
2024/07/21 07:29:19,174.12
2024/07/21 07:34:19,120.17
2024/07/21 07:39:19,155.3
